This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 1/30/15 12:00:37

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-17.36,.25,-.30,1.19,+3.11%,($2.50),($2.50),($468.17)
APPLE INC COM,0,,.00,118.90,+3.59,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,50,6.45,6.60,+1.725,-64.66,-3.26,3.91,-16.47,,($15.00),($15.00),
100 MAR 15 120 CALL,+1,50,3.80,3.925,+1.175,47.30,3.51,-4.21,17.65,,$12.50,$12.50,
EBAY,,,,,,-40.38,-4.12,.86,-3.82,+0.22%,$9.00,$9.00,($448.61)
EBAY INC COM,0,,.00,53.96,+.12,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,50,1.33,1.27,0,-84.53,-18.19,3.33,-15.78,,$12.00,$12.00,
100 MAR 15 57.5 CALL,+2,50,.53,.515,-.03,44.16,14.07,-2.47,11.97,,($3.00),($3.00),
EWU,+200,,18.33,18.37,+.12,200.00,.00,.00,.00,+0.66%,$8.00,$8.00,"$3,122.90"
ISHARES TRUST MSCI UNITED KINGDOM ETF,+200,,18.33,18.37,+.12,200.00,.00,.00,.00,,$8.00,$8.00,
GLD,,,,,,28.59,-.25,.14,-.92,-2.16%,($7.00),($7.00),$1.55
SPDR GOLD TR GOLD SHS ETF,0,,.00,120.76,-2.66,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,50,4.35,4.275,-1.70,119.93,9.28,-6.40,34.88,,($15.00),($15.00),
100 MAR 15 122 CALL,-2,50,2.81,2.77,-1.28,-91.34,-9.53,6.54,-35.79,,$8.00,$8.00,
JPM,,,,,,37.69,-5.17,.42,-3.12,+1.68%,($4.02),($4.02),($446.46)
JP MORGAN CHASE & CO COM,0,,.00,55.67,+.92,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 52.5 PUT,+2,50,.76,.77,-.2451411,-50.14,12.97,-3.25,13.24,,$2.00,$2.00,
100 MAR 15 55 PUT,-2,50,1.46,1.4900973,-.4251897,87.83,-18.14,3.67,-16.35,,($6.02),($6.02),
PG,,,,,,66.68,-7.92,1.44,-11.60,+0.61%,($0.50),($0.50),"$7,283.87"
PROCTER GAMBLE CO COM,+100,,85.74,85.67,+.52,100.00,.00,.00,.00,,($7.00),($7.00),
100 MAR 15 87.5 CALL,-1,50,1.05,.985,+.125,-33.32,-7.92,1.44,-11.60,,$6.50,$6.50,
RSX,+300,,14.9233333,14.81,-.19,300.00,.00,.00,.00,-1.27%,($34.00),($34.00),"$3,776.55"
MARKET VECTORS RUSSIA,+300,,14.9233333,14.81,-.19,300.00,.00,.00,.00,,($34.00),($34.00),
SNDK,,,,,,-62.60,-4.15,3.47,-10.95,-0.74%,($31.00),($31.00),"($8,941.48)"
SANDISK CORP COM,-100,,76.95,77.47,-.58,-100.00,.00,.00,.00,,($52.00),($52.00),
100 MAR 15 75 PUT,-1,50,2.74,2.53,+.23,37.40,-4.15,3.47,-10.95,,$21.00,$21.00,
SPY,,,,,,18.27,-.67,-.21,-2.13,+0.92%,$19.50,$19.50,($531.54)
SPDR TR S&P 500 ETF TR,0,,.00,201.9902,+1.8502,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 199 PUT,+3,50,4.43,3.935,-1.34,-122.00,8.96,-15.66,87.71,,($148.50),($148.50),
100 MAR 15 201 PUT,-3,50,5.18,4.62,-1.545,140.26,-9.63,15.45,-89.85,,$168.00,$168.00,
TSLA,,,,,,5.77,-.02,-.18,-.09,+2.92%,$2.50,$2.50,$80.33
TESLA MOTORS INC COM,0,,.00,205.20,+5.83,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 205 CALL,+1,50,13.95,14.075,+2.925,53.71,1.13,-13.70,30.46,,$12.50,$12.50,
100 MAR 15 210 CALL,-1,50,11.55,11.65,+2.575,-47.94,-1.16,13.52,-30.55,,($10.00),($10.00),
WFC,,,,,,45.43,-6.74,.39,-3.18,+1.15%,$8.00,$8.00,($483.59)
WELLS FARGO & CO COM,0,,.00,52.76,+.60,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 50 PUT,+2,50,.68,.64,-.12,-49.53,15.18,-2.74,12.47,,($8.00),($8.00),
100 MAR 15 52.5 PUT,-2,50,1.48,1.40,-.29,94.95,-21.92,3.14,-15.65,,$16.00,$16.00,
XOM,,,,,,-62.46,-4.40,3.43,-12.38,-0.42%,($28.00),($28.00),"($10,085.93)"
EXXON MOBIL CORPORATION COM,-100,,87.05,87.58,-.37,-100.00,.00,.00,.00,,($53.00),($53.00),
100 MAR 15 85 PUT,-1,50,2.62,2.37,-.015,37.54,-4.40,3.43,-12.38,,$25.00,$25.00,

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/NQ,,,-1,,4153.50,4189.75,+4.00,+0.10%,($725.00),($80.00),"($3,960.00)"
"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",MAR 15,1/20,-1,50,4153.50,4189.75,+4.00,,($725.00),($80.00),
/QM,,,-1,,44.55,44.60,+.07,+0.17%,($25.00),($35.00),"($2,448.00)"
"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",FEB 15,1/500,-1,21,44.55,44.600,+.07,,($25.00),($35.00),
/ZW,,,+1,,507.75,507.50,-.25,-0.05%,($12.50),($12.50),"($1,430.00)"
"Wheat Futures,Mar-2015,ETH",MAR2 15,1/50,+1,43,507.75,507.50,-.25,,($12.50),($12.50),

Cash & Sweep Vehicle,"$49,928.71"
OVERALL P/L YTD,($822.52)
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$34,950.14"
AVAILABLE DOLLARS,"$34,950.14"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
GBP/USD,+10000,1.5067,1.507325,-.007205,0.00%,$23.70,$23.70,($296.46)
GBPound/US Dollar Spot,+10000,1.5067,1.507325,-.007205,,$23.70,$23.70,
USD/JPY,+10000,118.3295,118.0435,+.038,-0.28%,($27.88),($27.88),($224.83)
USDollar/Japanese Yen Spot,+10000,118.3295,118.0435,+.038,,($27.88),($27.88),
USD/SEK,+10000,8.276996,8.272075,-.020815,-0.25%,($19.97),($19.97),($208.88)
USDollar/Swedish Krona Spot,+10000,8.276996,8.272075,-.020815,,($19.97),($19.97),
USD/THB,0,.00,32.718,+.104,0.00%,$0.00,$0.00,($500.00)
USDollar/Thai Baht,0,.00,32.718,+.104,,$0.00,$0.00,

FOREX CASH WITH UPL,"$10,159.35"
AVAILABLE DOLLARS,"$8,929.17"
