This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/6/15 05:08:12

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-17.81,.57,-.36,1.82,+0.32%,($37.50),($17.50),($475.63)
APPLE INC COM,0,,.00,119.88,+.32,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,43,6.45,7.10,+.40,-68.42,-3.22,4.20,-14.75,,($65.00),($40.00),
100 MAR 15 120 CALL,+1,43,3.80,4.075,+.225,50.62,3.79,-4.56,16.57,,$27.50,$22.50,
BABA,,,,,,20.91,3.24,-2.91,8.68,-3.33%,($99.00),($74.00),($4.74)
ALIBABA GROUP HLDG LTD ADR,0,,.00,86.98,-3.02,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,43,1.99,1.00,-.74,20.91,3.24,-2.91,8.68,,($99.00),($74.00),
BP,,,,,,77.95,4.54,.20,.66,+2.30%,$45.00,$69.00,($189.00)
BP PLC SPONS ADR,0,,.00,41.38,+.93,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 41 CALL,+6,43,1.01,1.305,+.425,321.71,80.09,-6.63,33.83,,$177.00,$255.00,
100 MAR 15 42 CALL,-6,43,.65,.87,+.31,-243.76,-75.56,6.84,-33.17,,($132.00),($186.00),
EBAY,,,,,,-45.47,-5.40,.94,-3.94,+1.08%,$10.00,($22.00),($471.88)
EBAY INC COM,0,,.00,54.27,+.56,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,43,1.33,1.185,+.19,-87.84,-20.89,3.41,-14.85,,$29.00,($38.00),
100 MAR 15 57.5 CALL,+2,43,.53,.435,+.08,42.37,15.49,-2.48,10.91,,($19.00),$16.00,
EWU,+200,,18.33,18.76,+.28,200.00,.00,.00,.00,+1.52%,$86.00,$56.00,"$3,189.20"
ISHARES TRUST MSCI UNITED KINGDOM ETF,+200,,18.33,18.76,+.28,200.00,.00,.00,.00,,$86.00,$56.00,
FB,,,,,,28.81,-.91,.05,-.92,-0.02%,($6.50),$1.00,($470.59)
FACEBOOK INC COM,0,,.00,75.59,-.04,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 72.5 PUT,+1,43,1.54,1.45,-.065,-30.79,5.04,-2.76,9.24,,($9.00),($6.50),
100 MAR 15 77.5 PUT,-1,43,3.70,3.675,-.075,59.60,-5.95,2.81,-10.16,,$2.50,$7.50,
FSLR,,,,,,19.53,-.71,.49,-.94,-0.17%,($29.00),$2.00,($361.93)
FIRST SOLAR INC COM,0,,.00,46.90,-.08,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42.5 PUT,+1,43,1.81,2.045,-.005,-28.62,3.34,-3.90,5.54,,$23.50,($0.50),
100 MAR 15 47.5 PUT,-1,43,3.70,4.225,-.025,48.15,-4.05,4.39,-6.48,,($52.50),$2.50,
GE,,,,,,301.35,309.37,-3.79,29.43,+1.41%,$10.00,$55.00,($7.03)
GENERAL ELECTRIC CO COM,0,,.00,24.47,+.31,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 25 CALL,+10,43,.20,.21,+.055,301.35,309.37,-3.79,29.43,,$10.00,$55.00,
GLD,,,,,,30.18,-.68,.54,-2.46,+0.17%,$19.00,($13.00),($17.96)
SPDR GOLD TR GOLD SHS ETF,0,,.00,121.72,+.14,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,43,4.35,4.65,0,130.29,9.48,-6.66,31.25,,$60.00,$0.00,
100 MAR 15 122 CALL,-2,43,2.81,3.015,+.065,-100.10,-10.16,7.20,-33.71,,($41.00),($13.00),
IBM,,,,,,42.98,6.38,-5.60,32.00,+0.61%,($14.00),$17.00,($15.24)
INTL BUSINESS MACHINES COM,0,,.00,157.82,+.86,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 165 CALL,+2,43,1.16,1.09,+.085,42.98,6.38,-5.60,32.00,,($14.00),$17.00,
JPM,,,,,,32.38,-6.71,.80,-4.24,+0.69%,$39.64,$15.70,($435.86)
JP MORGAN CHASE & CO COM,0,,.00,56.75,+.37,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 52.5 PUT,+2,43,.76,.456,-.104,-34.54,10.83,-2.88,10.08,,($60.80),($20.80),
100 MAR 15 55 PUT,-2,43,1.46,.9578,-.1825124,66.92,-17.54,3.68,-14.33,,$100.44,$36.50,
KO,,,,,,137.60,48.92,-2.92,17.20,+0.26%,$13.50,($4.50),$6.51
COCA COLA CO COM,0,,.00,41.79,+.11,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42 CALL,+3,43,.78,.825,-.015,137.60,48.92,-2.92,17.20,,$13.50,($4.50),
