This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for D-12644969 (pm) on 2/12/15 05:48:17

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-15.01,1.43,-1.51,5.20,+2.34%,($132.50),($47.50),($489.69)
APPLE INC COM,0,,.00,125.22,+3.20,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,37,6.45,10.725,+2.35,-87.33,-2.17,2.33,-8.28,,($427.50),($235.00),
100 MAR 15 120 CALL,+1,37,3.80,6.75,+1.875,72.31,3.61,-3.84,13.49,,$295.00,$187.50,
BABA,,,,,,15.28,2.81,-2.62,6.51,-1.44%,($135.00),($20.50),$2.03
ALIBABA GROUP HLDG LTD ADR,0,,.00,85.46,-1.80,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,37,1.99,.64,-.205,15.28,2.81,-2.62,6.51,,($135.00),($20.50),
BP,,,,,,69.88,5.54,-1.02,3.11,-0.74%,$12.00,($15.00),($222.00)
BP PLC SPONS ADR,0,,.00,40.41,-.84,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 41 CALL,+6,37,1.01,.99,-.11,253.44,70.36,-8.89,30.42,,($12.00),($66.00),
100 MAR 15 42 CALL,-6,37,.65,.61,-.085,-183.56,-64.82,7.87,-27.31,,$24.00,$51.00,
EBAY,,,,,,-48.42,-2.62,.66,-2.02,-0.24%,($34.00),$11.00,($490.09)
EBAY INC COM,0,,.00,55.14,-.13,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,37,1.33,1.64,-.115,-105.98,-20.29,4.14,-14.15,,($62.00),$23.00,
100 MAR 15 57.5 CALL,+2,37,.53,.67,-.06,57.56,17.67,-3.49,12.13,,$28.00,($12.00),
EWU,+200,,18.33,18.49,-.09,200.00,.00,.00,.00,-0.48%,$32.00,($18.00),"$3,143.30"
ISHARES TRUST MSCI UNITED KINGDOM ETF,+200,,18.33,18.49,-.09,200.00,.00,.00,.00,,$32.00,($18.00),
FB,,,,,,29.11,-1.62,.59,-2.19,+1.76%,$22.50,$41.00,($483.72)
FACEBOOK INC COM,0,,.00,76.77,+1.58,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 72.5 PUT,+1,37,1.54,.955,-.375,-23.71,4.71,-2.65,7.66,,($58.50),($37.50),
100 MAR 15 77.5 PUT,-1,37,3.70,2.89,-.785,52.82,-6.32,3.24,-9.85,,$81.00,$78.50,
FSLR,,,,,,19.14,-1.09,1.04,-1.50,+0.47%,$10.00,$3.00,($335.92)
FIRST SOLAR INC COM,0,,.00,48.77,+.23,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42.5 PUT,+1,37,1.81,1.335,-.395,-21.57,2.99,-3.76,4.61,,($47.50),($39.50),
100 MAR 15 47.5 PUT,-1,37,3.70,3.125,-.425,40.71,-4.08,4.80,-6.10,,$57.50,$42.50,
GE,,,,,,405.66,419.04,-3.91,30.82,+0.20%,$65.00,($5.00),($76.55)
