Position Statement for 865073982 () on 8/2/14 07:41:59


Group "MARKET LONG"

None
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
IWM,,,,,,31.31,11.99,-5.58,10.21,-0.46%,($196.50),($34.50),$0.00
ISHARES RUSSELL 2000 ETF,0,,.00,110.68,-.5099,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 115 CALL,+3,14,1.11,.24,-.14,39.04,16.93,-7.83,14.28,,($261.00),($42.00),
100 AUG 14 118 CALL,-3,14,.25,.035,-.025,-7.73,-4.94,2.25,-4.07,,$64.50,$7.50,
SPX,,,,,,1.44,.10,-4.64,7.80,-0.29%,($107.50),($57.50),$0.00
S&P 500 INDEX,0,,.00,1925.15,-5.52,.00,.00,.00,.00,,$0.00,$0.00,
100 (Weeklys) AUG2 14 1980 CALL,+1,7,2.32,.425,-1.10,3.60,.26,-14.81,22.53,,($189.50),($110.00),
100 (Weeklys) AUG2 14 1990 CALL,-1,7,1.07,.25,-.525,-2.16,-.16,10.17,-14.73,,$82.00,$52.50,


Group "DANGER"

None
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
EFA,,,,,,31.45,20.90,-1.86,4.78,-0.69%,($35.00),($20.00),$0.00
ISHARES MSCI EAFE ETF,0,,.00,66.13,-.46,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 67.5 CALL,+2,14,.37,.205,-.105,42.36,33.31,-3.15,7.76,,($33.00),($21.00),
100 AUG 14 69 CALL,-2,14,.03,.04,-.005,-10.91,-12.41,1.29,-2.98,,($2.00),$1.00,
KRE,,,,,,70.52,5.55,-1.15,1.26,-1.48%,($57.00),($40.00),($300.00)
SPDR S&P REGIONAL BANKING ETF,0,,.00,37.86,-.57,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 37.5 PUT,+2,14,.32,.525,+.17,-82.30,45.38,-4.51,5.97,,$41.00,$34.00,
100 AUG 14 39 PUT,-2,14,.88,1.37,+.37,152.83,-39.83,3.36,-4.71,,($98.00),($74.00),
NKE,,,,,,33.69,-3.08,.32,-.89,-0.45%,($20.50),($13.00),($250.00)
NIKE INC CL B,0,,.00,76.78,-.35,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 75 PUT,+1,14,.34,.48,+.065,-26.49,11.25,-3.21,5.10,,$14.00,$6.50,
100 AUG 14 77.5 PUT,-1,14,1.15,1.495,+.195,60.18,-14.32,3.53,-6.00,,($34.50),($19.50),
TWTR,,,,,,9.82,.78,-.46,.29,-2.35%,($25.50),($10.50),($100.00)
TWITTER INC COM,0,,.00,44.04,-1.15,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 45 PUT,+1,14,1.08,2.055,+.39,-58.08,10.26,-4.85,3.49,,$97.50,$39.00,
100 AUG 14 46 PUT,-1,14,1.47,2.70,+.495,67.90,-9.48,4.39,-3.19,,($123.00),($49.50),


Group "PROFIT"

None
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
FXI,,,,,,43.89,-24.98,1.66,-2.97,+0.62%,$67.00,$14.00,($300.00)
ISHARES CHINA LARGE-CAP ETF,0,,.00,40.72,+.25,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 38.5 PUT,+2,14,.28,.09,-.025,-20.37,19.63,-2.21,2.96,,($38.00),($5.00),
100 AUG 14 40 PUT,-2,14,.87,.345,-.095,64.26,-44.62,3.87,-5.92,,$105.00,$19.00,
ORCL,,,,,,-17.21,-11.59,.70,-1.28,-1.93%,$25.00,$19.50,($100.00)
ORACLE CORP COM,0,,.00,39.61,-.78,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 40.5 CALL,-1,14,.60,.22,-.285,-26.63,-23.59,1.47,-2.63,,$38.00,$28.50,
