This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Today's Trade Activity for <TOTAL> (ALL ACCOUNTS) on 1/30/15 12:00:29

Working Orders
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Mark,Status
,,1/30/15 03:51:21,FOREX,BUY,+10000,TO OPEN,USD/THB,,,FOREX,31.00,LMT,GTC,32.718,WORKING

Filled Orders
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
,1/30/15 07:29:42,FOREX,BUY,+10000,TO OPEN,USD/JPY,,,FOREX,118.3295,118.3295,ROP
,1/30/15 07:29:42,FOREX,BUY,+10000,TO OPEN,GBP/USD,,,FOREX,1.5067,1.5067,ROP
,1/30/15 07:29:42,FOREX,BUY,+10000,TO OPEN,USD/SEK,,,FOREX,8.276996,8.276996,ROP
,1/30/15 07:29:41,FOREX,SELL,-10000,TO CLOSE,USD/JPY,,,FOREX,118.33,118.33,RCL
,1/30/15 07:29:41,FOREX,SELL,-10000,TO CLOSE,GBP/USD,,,FOREX,1.5067,1.5067,RCL
,1/30/15 07:29:41,FOREX,SELL,-10000,TO CLOSE,USD/SEK,,,FOREX,8.277,8.277,RCL
,1/30/15 04:43:06,VERTICAL,SELL,-2,TO OPEN,EBAY,MAR 15,55,CALL,1.33,.80,LMT
,,,BUY,+2,TO OPEN,EBAY,MAR 15,57.5,CALL,.53,CREDIT,
,1/30/15 03:50:36,FOREX,BUY,+10000,TO OPEN,USD/JPY,,,FOREX,118.366,118.366,LMT
,1/30/15 03:48:22,FUTURE,BUY,+1,TO OPEN,/ZWH5,MAR 15,,FUTURE,507.75,507.75,LMT
,1/30/15 03:48:11,FOREX,BUY,+10000,TO OPEN,GBP/USD,,,FOREX,1.50483,1.50483,LMT
,1/30/15 03:48:10,FUTURE,SELL,-1,TO OPEN,/QMH5,MAR 15,,FUTURE,44.55,44.55,LMT
,1/30/15 03:48:02,FUTURE,SELL,-1,TO OPEN,/NQH5,MAR 15,,FUTURE,4153.50,4153.50,LMT
,1/30/15 03:47:22,FOREX,BUY,+10000,TO OPEN,USD/SEK,,,FOREX,8.28617,8.28617,LMT
,1/30/15 03:44:47,COVERED,SELL,-1,TO OPEN,SNDK,MAR 15,75,PUT,2.74,79.69,LMT
,,,SELL,-100,TO OPEN,SNDK,,,STOCK,76.95,CREDIT,
,1/30/15 03:43:50,COVERED,SELL,-1,TO OPEN,XOM,MAR 15,85,PUT,2.62,89.67,LMT
,,,SELL,-100,TO OPEN,XOM,,,STOCK,87.05,CREDIT,
,1/30/15 03:43:08,VERTICAL,SELL,-2,TO OPEN,JPM,MAR 15,55,PUT,1.46,.70,LMT
,,,BUY,+2,TO OPEN,JPM,MAR 15,52.5,PUT,.76,CREDIT,
,1/30/15 03:42:59,COVERED,SELL,-1,TO OPEN,PG,MAR 15,87.5,CALL,1.05,84.69,LMT
,,,BUY,+100,TO OPEN,PG,,,STOCK,85.74,DEBIT,
,1/30/15 03:42:46,VERTICAL,SELL,-2,TO OPEN,WFC,MAR 15,52.5,PUT,1.48,.80,LMT
,,,BUY,+2,TO OPEN,WFC,MAR 15,50,PUT,.68,CREDIT,
,1/30/15 03:41:41,VERTICAL,BUY,+1,TO OPEN,TSLA,MAR 15,205,CALL,13.95,2.40,LMT
,,,SELL,-1,TO OPEN,TSLA,MAR 15,210,CALL,11.55,DEBIT,
,1/30/15 03:41:40,VERTICAL,SELL,-3,TO OPEN,SPY,MAR 15,201,PUT,5.18,.75,LMT
,,,BUY,+3,TO OPEN,SPY,MAR 15,199,PUT,4.43,CREDIT,
,1/30/15 03:40:29,STOCK,BUY,+200,TO OPEN,RSX,,,ETF,14.92,14.92,LMT
,1/30/15 03:40:07,STOCK,BUY,+200,TO OPEN,EWU,,,ETF,18.33,18.33,LMT
,1/30/15 03:39:44,STOCK,BUY,+100,TO OPEN,RSX,,,ETF,14.93,14.93,LMT
,1/30/15 03:39:25,VERTICAL,BUY,+2,TO OPEN,GLD,MAR 15,119,CALL,4.35,1.54,LMT
,,,SELL,-2,TO OPEN,GLD,MAR 15,122,CALL,2.81,DEBIT,
,1/30/15 03:38:24,VERTICAL,SELL,-1,TO OPEN,AAPL,MAR 15,115,CALL,6.45,2.65,LMT
,,,BUY,+1,TO OPEN,AAPL,MAR 15,120,CALL,3.80,CREDIT,

Cancelled Orders
Notes,,Time Cancelled,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,1/30/15 05:00:00,STOCK,SELL,-100,TO OPEN,KO,,,STOCK,42.20,LMT,DAY,EXPIRED
,,1/30/15 03:47:38,FOREX,BUY,+10000,TO OPEN,GBP/USD,,,FOREX,1.50489,LMT,GTC,REJECTED: Limit price must be less than or equal to 1.50482 (unsupported order characteristic)
,,1/30/15 03:49:59,VERTICAL,SELL,-2,TO OPEN,EBAY,MAR 15,55,CALL,.73,LMT,DAY,CANCELED
,,,,BUY,+2,TO OPEN,EBAY,MAR 15,57.5,CALL,,,,
,,1/30/15 03:50:15,STOCK,SELL,-100,TO OPEN,KO,,,STOCK,42.04,LMT,DAY,CANCELED

Rolling Strategies
Covered Call Position,New Exp,Call By,Begin (Days),Order Price,Active Time,Move to MKT Time,Status
