This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/17/15 09:40:33

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-10.93,1.28,-1.30,4.15,+0.49%,($162.50),$0.00,($497.57)
APPLE INC COM,0,,.00,127.08,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,32,6.45,12.60,0,-88.35,-1.73,2.84,-7.46,,($615.00),$0.00,
100 MAR 15 120 CALL,+1,32,3.80,8.325,0,77.42,3.01,-4.14,11.61,,$452.50,$0.00,
BABA,,,,,,23.38,4.10,-3.38,8.33,+2.24%,($101.00),$0.00,($6.99)
ALIBABA GROUP HLDG LTD ADR,0,,.00,89.05,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,32,1.99,.98,0,23.38,4.10,-3.38,8.33,,($101.00),$0.00,
BP,,,,,,71.69,-4.68,.10,-1.09,+1.43%,$135.00,$0.00,($99.00)
BP PLC SPONS ADR,0,,.00,41.93,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 41 CALL,+6,32,1.01,1.78,0,362.61,68.70,-9.81,29.32,,$462.00,$0.00,
100 MAR 15 42 CALL,-6,32,.65,1.195,0,-290.92,-73.37,9.91,-30.41,,($327.00),$0.00,
EBAY,,,,,,-54.38,2.45,-.02,.82,+3.17%,($111.00),$0.00,($503.22)
EBAY INC COM,0,,.00,56.47,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,32,1.33,2.31,0,-134.05,-19.66,3.97,-12.48,,($196.00),$0.00,
100 MAR 15 57.5 CALL,+2,32,.53,.955,0,79.67,22.11,-3.99,13.30,,$85.00,$0.00,
EWU,+200,,18.33,18.91,0,200.00,.00,.00,.00,+0.48%,$116.00,$0.00,"$3,214.70"
ISHARES TRUST MSCI UNITED KINGDOM ETF,+200,,18.33,18.91,0,200.00,.00,.00,.00,,$116.00,$0.00,
FB,,,,,,33.75,-1.29,.24,-1.21,-0.64%,($3.00),$0.00,($490.86)
FACEBOOK INC COM,0,,.00,75.74,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 72.5 PUT,+1,32,1.54,1.01,0,-27.11,5.68,-2.82,7.66,,($53.00),$0.00,
100 MAR 15 77.5 PUT,-1,32,3.70,3.20,0,60.86,-6.97,3.06,-8.87,,$50.00,$0.00,
FSLR,,,,,,20.29,-1.10,1.47,-1.58,-1.17%,$1.50,$0.00,($351.23)
FIRST SOLAR INC COM,0,,.00,48.84,0,.00,.00,.00,.00,,$0.00,$0.00,
