This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Today's Trade Activity for <TOTAL> (ALL ACCOUNTS) on 2/17/15 09:40:27

Working Orders
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Mark,Status
,,1/30/15 03:51:21,FOREX,BUY,+10000,TO OPEN,USD/THB,,,FOREX,31.00,LMT,GTC,32.593,WORKING

Filled Orders
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
,2/17/15 07:33:32,FOREX,BUY,+10000,TO OPEN,AUD/SGD,,,FOREX,1.05474,1.05474,ROP
,2/17/15 07:33:32,FOREX,BUY,+10000,TO OPEN,HKD/JPY,,,FOREX,15.268295,15.268295,ROP
,2/17/15 07:33:32,FOREX,BUY,+10000,TO OPEN,GBP/USD,,,FOREX,1.536297,1.536297,ROP
,2/17/15 07:33:32,FOREX,BUY,+10000,TO OPEN,USD/JPY,,,FOREX,118.4799,118.4799,ROP
,2/17/15 07:33:31,FOREX,SELL,-10000,TO CLOSE,HKD/JPY,,,FOREX,15.2684,15.2684,RCL
,2/17/15 07:33:31,FOREX,SELL,-10000,TO CLOSE,AUD/SGD,,,FOREX,1.0549,1.0549,RCL
,2/17/15 07:33:31,FOREX,SELL,-10000,TO CLOSE,USD/JPY,,,FOREX,118.48,118.48,RCL
,2/17/15 07:33:31,FOREX,SELL,-10000,TO CLOSE,GBP/USD,,,FOREX,1.5363,1.5363,RCL

Cancelled Orders
Notes,,Time Cancelled,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status

Rolling Strategies
Covered Call Position,New Exp,Call By,Begin (Days),Order Price,Active Time,Move to MKT Time,Status
