This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Account Statement for <TOTAL> (ALL ACCOUNTS) since 2/25/15 through 2/25/15

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,FEES,COMMISSIONS,AMOUNT,BALANCE
,,,,TOTAL,,,,

Futures Statements
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Fees,Commissions,Amount,Balance

Forex Statements
,Date,Time,Type,Ref #,Description,Commissions,Amount,Amount(USD),Balance

 
"Total Cash ($198,106.15)"


Account Order History
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status

Account Trade History
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type

Equities
Symbol,Description,Qty,Trade Price,Mark,Mark Value
GREK,GLOBAL X FUNDS GREECE 20 ETF,+600,13.1733333,13.67,"$8,202.00"
XOM,EXXON MOBIL CORPORATION COM,-100,87.05,89.60,"($8,960.00)"
GOOG,GOOGLE INC CLASS C,+4,531.81,544.00,"$2,176.00"
VNQ,VANGUARD REIT ETF INDEX,+40,84.93,83.63,"$3,345.20"
USLV,CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,24.95,20.75,"$2,075.00"
PG,PROCTER GAMBLE CO COM,+100,85.74,85.46,"$8,546.00"
NGE,GLOBAL X FUNDS MSCI NIGERIA ETF,+600,8.39,8.60,"$5,160.00"
SNDK,SANDISK CORP COM,-100,76.95,79.05,"($7,905.00)"
,OVERALL TOTALS,,,,"$12,639.20"

Options
Symbol,Option Code,Exp,Strike,Type,Qty,Trade Price,Mark,Mark Value
AAPL,AAPL150320C115,MAR 15,115,CALL,-1,6.45,14.075,"($1,407.50)"
AAPL,AAPL150320C120,MAR 15,120,CALL,+1,3.80,9.525,$952.50
,,,,,,,,($455.00)
AMZN,AMZN150417P335,APR 15,335,PUT,+1,2.73,1.836507,$183.65
,,,,,,,,$183.65
BABA,BABA150320C95,MAR 15,95,CALL,+1,1.99,.265,$26.50
,,,,,,,,$26.50
EBAY,EBAY150320C55,MAR 15,55,CALL,-2,1.33,3.525,($705.00)
EBAY,EBAY150320C57.5,MAR 15,57.5,CALL,+2,.53,1.595,$319.00
,,,,,,,,($386.00)
GILD,GILD150515C105,MAY 15,105,CALL,+1,5.50,5.425,$542.50
GILD,GILD150515C110,MAY 15,110,CALL,-1,3.35,3.35,($335.00)
,,,,,,,,$207.50
GLD,GLD150320C119,MAR 15,119,CALL,+2,4.35,.69,$138.00
GLD,GLD150320C122,MAR 15,122,CALL,-2,2.81,.265,($53.00)
,,,,,,,,$85.00
KO,KO150320C42,MAR 15,42,CALL,+3,.78,.55,$165.00
,,,,,,,,$165.00
PG,PG150320C87.5,MAR 15,87.5,CALL,-1,1.05,.225,($22.50)
,,,,,,,,($22.50)
RSX,RSX150515C20,MAY 15,20,CALL,+4,.70,.50,$200.00
,,,,,,,,$200.00
SNDK,SNDK150320P75,MAR 15,75,PUT,-1,2.74,.805,($80.50)
,,,,,,,,($80.50)
SPY,SPY150417P200,APR 15,200,PUT,-1,2.42,1.435,($143.50)
SPY,SPY150417P209,APR 15,209,PUT,+1,4.85,3.29,$329.00
,,,,,,,,$185.50
TSLA,TSLA150320C205,MAR 15,205,CALL,+1,13.95,6.925,$692.50
TSLA,TSLA150320C210,MAR 15,210,CALL,-1,11.55,4.825,($482.50)
,,,,,,,,$210.00
VXX,VXX150320C37,MAR 15,37,CALL,+1,2.67,.385,$38.50
,,,,,,,,$38.50
XOM,XOM150320P85,MAR 15,85,PUT,-1,2.62,.375,($37.50)
,,,,,,,,($37.50)
,,,,,,,,$320.15

Futures
Symbol,Description,SPC,Exp,Qty,Trade Price,Mark,P/L Day
/6JH5,"Japanese Yen Futures,Mar-2015,ETH",1/12500000,MAR 15,+1,.008389,.008415,$25.00
/NGH5,"Natural Gas Futures,Mar-2015,ETH",1/10000,MAR 15,+1,2.839,2.884,($100.00)
/NQH5,"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",1/20,MAR 15,-1,4153.50,4437.50,$255.00
/QMH5,"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",1/500,MAR 15,-1,44.55,51.125,$17.50
,OVERALL TOTALS,,,,,,$197.50

Forex
Symbol,Description,Qty,Trade Price,Mark,FPL
USD/INR,USDollar/Indian Rupee Spot ,+10000,62.1637,62.1650,($0.60)
USD/THB,USDollar/Thai Baht ,-10000,32.5038,32.517,($27.12)
GBP/USD,GBPound/US Dollar Spot         ,+10000,1.545194,1.55253,$72.26
USD/JPY,USDollar/Japanese Yen Spot      ,+10000,118.9796,118.8495,($11.66)
HKD/JPY,HKDollar/Japanese Yen Spot ,+10000,15.33812,15.32100,($1.90)
NZD/SGD,NZDollar/Singapore Dollar Spot  ,+10000,1.016881,1.02058,$24.75
,OVERALL TOTALS,,,,$55.73

Profits and Losses 
Symbol,Description,P/L Open,P/L %,P/L Day,P/L YTD,Margin Req,Mark Value
/6JH5,"Japanese Yen Futures,Mar-2015,ETH",$325.00,+0.31%,$25.00,$325.00,"$3,300.00",$25.00
/NGH5,"Natural Gas Futures,Mar-2015,ETH",$450.00,+1.59%,($100.00),"$1,930.00","$3,520.00",($100.00)
/NQH5,"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH","($5,680.00)",-6.84%,$255.00,"($5,680.00)","$3,960.00",$255.00
/QMH5,"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH","($3,287.50)",-14.76%,$17.50,"($3,287.50)","$2,695.00",$17.50
/ZWH5,"Wheat Futures,Mar-2015,ETH",$0.00,0.00%,$0.00,"$1,062.50",$0.00,$0.00
AAPL,APPLE INC COM,($190.00),-18.54%,$27.50,($190.00),$50.51,($455.00)
AMZN,AMAZON.COM INC COM,($89.35),-32.73%,($37.35),($89.35),$176.82,$183.65
BABA,ALIBABA GROUP HLDG LTD ADR,($172.50),-86.68%,$2.50,($172.50),$28.58,$26.50
BP,BP PLC SPONS ADR,$0.00,0.00%,$0.00,$132.00,$0.00,$0.00
CELG,CELGENE CORP COM,$0.00,0.00%,$0.00,$105.00,$0.00,$0.00
DIS,WALT DISNEY CO COM,$0.00,0.00%,$0.00,$148.00,$0.00,$0.00
EBAY,EBAY INC COM,($226.00),-60.75%,$4.00,($226.00),$150.00,($386.00)
EWU,ISHARES TRUST MSCI UNITED KINGDOM ETF,$0.00,0.00%,$0.00,$120.00,$0.00,$0.00
FB,FACEBOOK INC COM,$0.00,0.00%,$0.00,$114.00,$0.00,$0.00
FSLR,FIRST SOLAR INC COM,$0.00,0.00%,$0.00,$149.00,$0.00,$0.00
GE,GENERAL ELECTRIC CO COM,$0.00,0.00%,$0.00,$170.00,$0.00,$0.00
GILD,GILEAD SCIENCES INC COM,($7.50),-0.85%,($12.50),($7.50),$162.16,$207.50
GLD,SPDR GOLD TR GOLD SHS ETF,($223.00),-15.57%,($3.00),($223.00),$101.68,$85.00
GOOG,GOOGLE INC CLASS C,$48.76,+2.29%,$31.64,$48.76,$326.40,"$2,176.00"
GREK,GLOBAL X FUNDS GREECE 20 ETF,$298.00,+3.77%,($192.00),$298.00,"$1,230.30","$8,202.00"
HD,HOME DEPOT INC COM,$0.00,0.00%,$0.00,$146.00,$0.00,$0.00
IBM,INTL BUSINESS MACHINES COM,$0.00,0.00%,$0.00,$120.00,$0.00,$0.00
JPM,JP MORGAN CHASE & CO COM,$0.00,0.00%,$0.00,$108.00,$0.00,$0.00
KO,COCA COLA CO COM,($69.00),-29.49%,($22.50),($69.00),$161.86,$165.00
