This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/27/15 19:32:44

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-5.48,1.06,-1.06,2.31,0.00%,($202.50),$0.00,($504.41)
APPLE INC COM,0,,.00,130.38,-.035,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,21,6.45,15.70,0,-91.72,-1.04,3.69,-4.66,,($925.00),$0.00,
100 MAR 15 120 CALL,+1,21,3.80,11.025,0,86.24,2.10,-4.76,6.97,,$722.50,$0.00,
AMZN,,,,,,-9.02,.39,-6.73,23.21,0.00%,($91.95),$1.03,$6.35
AMAZON.COM INC COM,0,,.00,384.60,-.20,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 335 PUT,+1,49,2.73,1.810539,+.010286,-9.02,.39,-6.73,23.21,,($91.95),$1.03,
BABA,,,,,,7.09,2.24,-1.79,2.90,0.00%,($180.50),$0.00,($1.41)
ALIBABA GROUP HLDG LTD ADR,0,,.00,85.37,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,21,1.99,.185,0,7.09,2.24,-1.79,2.90,,($180.50),$0.00,
EBAY,,,,,,-49.75,14.07,-2.39,5.55,0.00%,($232.00),$0.00,($542.00)
EBAY INC COM,0,,.00,58.50,-.04,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,21,1.33,3.65,0,-179.75,-12.23,2.40,-5.08,,($464.00),$0.00,
100 MAR 15 57.5 CALL,+2,21,.53,1.69,0,130.00,26.30,-4.79,10.64,,$232.00,$0.00,
GILD,,,,,,13.94,.11,-.28,1.10,0.00%,($12.50),$0.00,$40.74
GILEAD SCIENCES INC COM,0,,.00,104.19,0,.00,.00,.00,.00,,$0.00,$0.00,
