This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Account Statement for <TOTAL> (ALL ACCOUNTS) since 2/27/15 through 2/27/15

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,FEES,COMMISSIONS,AMOUNT,BALANCE
,,,,TOTAL,,,,

Futures Statements
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Fees,Commissions,Amount,Balance

Forex Statements
,Date,Time,Type,Ref #,Description,Commissions,Amount,Amount(USD),Balance

 
"Total Cash ($198,106.15)"


Account Order History
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status

Account Trade History
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type

Equities
Symbol,Description,Qty,Trade Price,Mark,Mark Value
VNQ,VANGUARD REIT ETF INDEX,+40,84.93,83.40,"$3,336.00"
USLV,CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,24.95,20.88,"$2,088.00"
PG,PROCTER GAMBLE CO COM,+100,85.74,85.13,"$8,513.00"
NGE,GLOBAL X FUNDS MSCI NIGERIA ETF,+600,8.39,8.58,"$5,148.00"
SNDK,SANDISK CORP COM,-100,76.95,79.93,"($7,993.00)"
,OVERALL TOTALS,,,,"$11,092.00"

Options
Symbol,Option Code,Exp,Strike,Type,Qty,Trade Price,Mark,Mark Value
AAPL,AAPL150320C115,MAR 15,115,CALL,-1,6.45,13.85,"($1,385.00)"
AAPL,AAPL150320C120,MAR 15,120,CALL,+1,3.80,9.30,$930.00
,,,,,,,,($455.00)
AMZN,AMZN150417P335,APR 15,335,PUT,+1,2.73,1.900843,$190.08
,,,,,,,,$190.08
BABA,BABA150320C95,MAR 15,95,CALL,+1,1.99,.165,$16.50
,,,,,,,,$16.50
EBAY,EBAY150320C55,MAR 15,55,CALL,-2,1.33,3.135,($627.00)
EBAY,EBAY150320C57.5,MAR 15,57.5,CALL,+2,.53,1.24,$248.00
,,,,,,,,($379.00)
GILD,GILD150515C105,MAY 15,105,CALL,+1,5.50,4.925,$492.50
GILD,GILD150515C110,MAY 15,110,CALL,-1,3.35,2.98,($298.00)
,,,,,,,,$194.50
GLD,GLD150320C119,MAR 15,119,CALL,+2,4.35,.66,$132.00
GLD,GLD150320C122,MAR 15,122,CALL,-2,2.81,.23,($46.00)
,,,,,,,,$86.00
PG,PG150320C87.5,MAR 15,87.5,CALL,-1,1.05,.15,($15.00)
,,,,,,,,($15.00)
RSX,RSX150515C20,MAY 15,20,CALL,+4,.70,.525,$210.00
,,,,,,,,$210.00
SNDK,SNDK150320P75,MAR 15,75,PUT,-1,2.74,.575,($57.50)
,,,,,,,,($57.50)
SPY,SPY150417P200,APR 15,200,PUT,-1,2.42,1.395,($139.50)
SPY,SPY150417P209,APR 15,209,PUT,+1,4.85,3.365,$336.50
,,,,,,,,$197.00
TSLA,TSLA150320C205,MAR 15,205,CALL,+1,13.95,6.40,$640.00
TSLA,TSLA150320C210,MAR 15,210,CALL,-1,11.55,4.375,($437.50)
,,,,,,,,$202.50
VXX,VXX150320C37,MAR 15,37,CALL,+1,2.67,.23,$23.00
,,,,,,,,$23.00
,,,,,,,,$213.08

Futures
Symbol,Description,SPC,Exp,Qty,Trade Price,Mark,P/L Day
/QMQ5,"NYMEX miNY Light Sweet Crude Oil Futures,Aug-2015,ETH",1/500,AUG 15,+1,55.925,55.925,($447.50)
/NQM5,"E-mini Nasdaq 100 Index Futures,Jun-2015,ETH",1/20,JUN 15,-1,4439.75,4444.75,($175.00)
/6JM5,"Japanese Yen Futures,Jun-2015,ETH",1/12500000,JUN 15,+1,.008368,.008370,$75.00
/NGH5,"Natural Gas Futures,Mar-2015,ETH",1/10000,MAR 15,+1,2.839,2.884,($100.00)
/QMH5,"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",1/500,MAR 15,-1,44.55,51.125,$17.50
,OVERALL TOTALS,,,,,,$197.50

Forex
Symbol,Description,Qty,Trade Price,Mark,FPL
USD/INR,USDollar/Indian Rupee Spot ,+10000,62.1637,62.1650,($0.60)
USD/THB,USDollar/Thai Baht ,-10000,32.3739,32.355,($17.35)
GBP/USD,GBPound/US Dollar Spot         ,+10000,1.540701,1.54370,$25.99
USD/JPY,USDollar/Japanese Yen Spot      ,+10000,119.4196,119.628,$14.50
HKD/JPY,HKDollar/Japanese Yen Spot ,+10000,15.398755,15.42500,$0.95
NZD/SGD,NZDollar/Singapore Dollar Spot  ,+10000,1.023272,1.030575,$46.46
,OVERALL TOTALS,,,,$69.95

Profits and Losses 
Symbol,Description,P/L Open,P/L %,P/L Day,P/L YTD,Margin Req,Mark Value
/6JH5,"Japanese Yen Futures,Mar-2015,ETH",$0.00,0.00%,$0.00,($412.50),$0.00,$0.00
/6JM5,"Japanese Yen Futures,Jun-2015,ETH",$25.00,+0.02%,$75.00,$25.00,"$3,300.00",$75.00
/NGH5,"Natural Gas Futures,Mar-2015,ETH",$450.00,+1.59%,($100.00),"$1,930.00","$3,520.00",($100.00)
/NQH5,"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",$0.00,0.00%,$0.00,"($5,855.00)",$0.00,$0.00
/NQM5,"E-mini Nasdaq 100 Index Futures,Jun-2015,ETH",($100.00),-0.11%,($175.00),($100.00),"$3,960.00",($175.00)
/QMH5,"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH","($3,287.50)",-14.76%,$0.00,"($3,287.50)","$2,695.00",$17.50
/QMQ5,"NYMEX miNY Light Sweet Crude Oil Futures,Aug-2015,ETH",$0.00,0.00%,($447.50),$0.00,"($2,393.00)",($447.50)
/ZWH5,"Wheat Futures,Mar-2015,ETH",$0.00,0.00%,$0.00,"$1,062.50",$0.00,$0.00
AAPL,APPLE INC COM,($190.00),-18.54%,$12.50,($190.00),$50.82,($455.00)
AMZN,AMAZON.COM INC COM,($82.92),-30.37%,$10.06,($82.92),$184.36,$190.08
BABA,ALIBABA GROUP HLDG LTD ADR,($182.50),-91.71%,($2.00),($182.50),$16.50,$16.50
BP,BP PLC SPONS ADR,$0.00,0.00%,$0.00,$132.00,$0.00,$0.00
CELG,CELGENE CORP COM,$0.00,0.00%,$0.00,$105.00,$0.00,$0.00
DIS,WALT DISNEY CO COM,$0.00,0.00%,$0.00,$148.00,$0.00,$0.00
EBAY,EBAY INC COM,($219.00),-58.87%,$13.00,($219.00),$150.00,($379.00)
EWU,ISHARES TRUST MSCI UNITED KINGDOM ETF,$0.00,0.00%,$0.00,$120.00,$0.00,$0.00
FB,FACEBOOK INC COM,$0.00,0.00%,$0.00,$114.00,$0.00,$0.00
