This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/18/15 14:41:59

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,N/A,N/A,N/A,N/A,+0.59%,($177.50),($15.00),($503.31)
APPLE INC COM,0,,.00,127.83,+.75,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,30,6.45,13.275,+.675,N/A,N/A,N/A,N/A,,($682.50),($67.50),
100 MAR 15 120 CALL,+1,30,3.80,8.85,+.525,N/A,N/A,N/A,N/A,,$505.00,$52.50,
BABA,,,,,,N/A,N/A,N/A,N/A,-2.47%,($138.50),($37.50),($3.25)
ALIBABA GROUP HLDG LTD ADR,0,,.00,86.85,-2.20,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,30,1.99,.605,-.375,N/A,N/A,N/A,N/A,,($138.50),($37.50),
BP,,,,,,N/A,N/A,N/A,N/A,-0.36%,$120.00,($15.00),($114.00)
BP PLC SPONS ADR,0,,.00,41.78,-.15,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 41 CALL,+6,30,1.01,1.595,-.185,N/A,N/A,N/A,N/A,,$351.00,($111.00),
100 MAR 15 42 CALL,-6,30,.65,1.035,-.16,N/A,N/A,N/A,N/A,,($231.00),$96.00,
EBAY,,,,,,N/A,N/A,N/A,N/A,-0.10%,($101.00),$10.00,($494.03)
EBAY INC COM,0,,.00,56.415,-.055,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,30,1.33,2.16,-.15,N/A,N/A,N/A,N/A,,($166.00),$30.00,
100 MAR 15 57.5 CALL,+2,30,.53,.855,-.10,N/A,N/A,N/A,N/A,,$65.00,($20.00),
EWU,+200,,18.33,18.90,-.01,N/A,N/A,N/A,N/A,-0.05%,$114.00,($2.00),"$3,213.00"
ISHARES TRUST MSCI UNITED KINGDOM ETF,+200,,18.33,18.90,-.01,N/A,N/A,N/A,N/A,,$114.00,($2.00),
FB,,,,,,N/A,N/A,N/A,N/A,-0.18%,($7.50),($4.50),($493.76)
FACEBOOK INC COM,0,,.00,75.60,-.14,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 72.5 PUT,+1,30,1.54,1.04,+.03,N/A,N/A,N/A,N/A,,($50.00),$3.00,
100 MAR 15 77.5 PUT,-1,30,3.70,3.275,+.075,N/A,N/A,N/A,N/A,,$42.50,($7.50),
FSLR,,,,,,N/A,N/A,N/A,N/A,+1.60%,$33.50,$32.00,($322.69)
FIRST SOLAR INC COM,0,,.00,49.62,+.78,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42.5 PUT,+1,30,1.81,1.005,-.12,N/A,N/A,N/A,N/A,,($80.50),($12.00),
100 MAR 15 47.5 PUT,-1,30,3.70,2.56,-.44,N/A,N/A,N/A,N/A,,$114.00,$44.00,
GE,,,,,,N/A,N/A,N/A,N/A,+0.08%,$160.00,($45.00),($110.01)
GENERAL ELECTRIC CO COM,0,,.00,25.17,+.02,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 25 CALL,+10,30,.20,.36,-.045,N/A,N/A,N/A,N/A,,$160.00,($45.00),
GLD,,,,,,N/A,N/A,N/A,N/A,-1.67%,($179.00),($65.00),$4.27
