This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Account Statement for <TOTAL> (ALL ACCOUNTS) since 2/25/15 through 2/25/15

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,FEES,COMMISSIONS,AMOUNT,BALANCE
,,,,TOTAL,,,,

Futures Statements
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Fees,Commissions,Amount,Balance

Forex Statements
,Date,Time,Type,Ref #,Description,Commissions,Amount,Amount(USD),Balance

 
"Total Cash ($197,946.15)"


Account Order History
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status

Account Trade History
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type

Equities
Symbol,Description,Qty,Trade Price,Mark,Mark Value
GREK,GLOBAL X FUNDS GREECE 20 ETF,+600,13.1733333,13.97,"$8,382.00"
XOM,EXXON MOBIL CORPORATION COM,-100,87.05,89.42,"($8,942.00)"
GOOG,GOOGLE INC CLASS C,+4,531.81,535.50,"$2,142.00"
VNQ,VANGUARD REIT ETF INDEX,+40,84.93,83.61,"$3,344.40"
USLV,CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,24.95,20.42,"$2,042.00"
PG,PROCTER GAMBLE CO COM,+100,85.74,85.50,"$8,550.00"
NGE,GLOBAL X FUNDS MSCI NIGERIA ETF,+600,8.39,8.63,"$5,178.00"
SNDK,SANDISK CORP COM,-100,76.95,79.97,"($7,997.00)"
,OVERALL TOTALS,,,,"$12,699.40"

Options
Symbol,Option Code,Exp,Strike,Type,Qty,Trade Price,Mark,Mark Value
AAPL,AAPL150320C115,MAR 15,115,CALL,-1,6.45,17.35,"($1,735.00)"
AAPL,AAPL150320C120,MAR 15,120,CALL,+1,3.80,12.525,"$1,252.50"
,,,,,,,,($482.50)
AMZN,AMZN150417P335,APR 15,335,PUT,+1,2.73,2.208998,$220.90
,,,,,,,,$220.90
BABA,BABA150320C95,MAR 15,95,CALL,+1,1.99,.24,$24.00
,,,,,,,,$24.00
EBAY,EBAY150320C55,MAR 15,55,CALL,-2,1.33,3.625,($725.00)
EBAY,EBAY150320C57.5,MAR 15,57.5,CALL,+2,.53,1.675,$335.00
,,,,,,,,($390.00)
GILD,GILD150515C105,MAY 15,105,CALL,+1,5.50,5.55,$555.00
GILD,GILD150515C110,MAY 15,110,CALL,-1,3.35,3.35,($335.00)
,,,,,,,,$220.00
GLD,GLD150320C119,MAR 15,119,CALL,+2,4.35,.75,$150.00
GLD,GLD150320C122,MAR 15,122,CALL,-2,2.81,.31,($62.00)
,,,,,,,,$88.00
KO,KO150320C42,MAR 15,42,CALL,+3,.78,.625,$187.50
,,,,,,,,$187.50
PG,PG150320C87.5,MAR 15,87.5,CALL,-1,1.05,.26,($26.00)
,,,,,,,,($26.00)
RSX,RSX150515C20,MAY 15,20,CALL,+4,.70,.45,$180.00
,,,,,,,,$180.00
SNDK,SNDK150320P75,MAR 15,75,PUT,-1,2.74,.665,($66.50)
,,,,,,,,($66.50)
SPY,SPY150417P200,APR 15,200,PUT,-1,2.42,1.39,($139.00)
SPY,SPY150417P209,APR 15,209,PUT,+1,4.85,3.205,$320.50
,,,,,,,,$181.50
TSLA,TSLA150320C205,MAR 15,205,CALL,+1,13.95,7.45,$745.00
TSLA,TSLA150320C210,MAR 15,210,CALL,-1,11.55,5.30,($530.00)
,,,,,,,,$215.00
VXX,VXX150320C37,MAR 15,37,CALL,+1,2.67,.305,$30.50
,,,,,,,,$30.50
XOM,XOM150320P85,MAR 15,85,PUT,-1,2.62,.44,($44.00)
,,,,,,,,($44.00)
,,,,,,,,$338.40

Futures
Symbol,Description,SPC,Exp,Qty,Trade Price,Mark,P/L Day
/6JH5,"Japanese Yen Futures,Mar-2015,ETH",1/12500000,MAR 15,+1,.008389,.008416,$37.50
/NGH5,"Natural Gas Futures,Mar-2015,ETH",1/10000,MAR 15,+1,2.839,2.902,$0.00
/NQH5,"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",1/20,MAR 15,-1,4153.50,4443.75,$130.00
/QMH5,"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",1/500,MAR 15,-1,44.55,51.125,$17.50
,OVERALL TOTALS,,,,,,$185.00

Forex
Symbol,Description,Qty,Trade Price,Mark,FPL
USD/INR,USDollar/Indian Rupee Spot ,+10000,62.1637,62.1650,($0.60)
USD/THB,USDollar/Thai Baht ,-10000,32.5038,32.531,($31.39)
GBP/USD,GBPound/US Dollar Spot         ,+10000,1.545194,1.548845,$35.36
USD/JPY,USDollar/Japanese Yen Spot      ,+10000,118.9796,118.849,($11.77)
HKD/JPY,HKDollar/Japanese Yen Spot ,+10000,15.33812,15.32390,($1.67)
NZD/SGD,NZDollar/Singapore Dollar Spot  ,+10000,1.016881,1.02285,$41.42
,OVERALL TOTALS,,,,$31.36

Profits and Losses 
Symbol,Description,P/L Open,P/L %,P/L Day,P/L YTD,Margin Req,Mark Value
/6JH5,"Japanese Yen Futures,Mar-2015,ETH",$337.50,+0.32%,$37.50,$337.50,"$3,300.00",$37.50
/NGH5,"Natural Gas Futures,Mar-2015,ETH",$630.00,+2.22%,$0.00,"$2,110.00","$3,520.00",$0.00
/NQH5,"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH","($5,805.00)",-6.99%,$130.00,"($5,805.00)","$3,960.00",$130.00
/QMH5,"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH","($3,287.50)",-14.76%,$17.50,"($3,287.50)","$2,695.00",$17.50
/ZWH5,"Wheat Futures,Mar-2015,ETH",$0.00,0.00%,$0.00,"$1,062.50",$0.00,$0.00
AAPL,APPLE INC COM,($217.50),-21.22%,$0.00,($217.50),$25.29,($482.50)
AMZN,AMAZON.COM INC COM,($52.10),-19.08%,($0.10),($52.10),$213.10,$220.90
BABA,ALIBABA GROUP HLDG LTD ADR,($175.00),-87.94%,$0.00,($175.00),$24.00,$24.00
BP,BP PLC SPONS ADR,$0.00,0.00%,$0.00,$132.00,$0.00,$0.00
CELG,CELGENE CORP COM,$0.00,0.00%,$0.00,$105.00,$0.00,$0.00
DIS,WALT DISNEY CO COM,$0.00,0.00%,$0.00,$148.00,$0.00,$0.00
EBAY,EBAY INC COM,($230.00),-61.83%,$0.00,($230.00),$150.00,($390.00)
EWU,ISHARES TRUST MSCI UNITED KINGDOM ETF,$0.00,0.00%,$0.00,$120.00,$0.00,$0.00
FB,FACEBOOK INC COM,$0.00,0.00%,$0.00,$114.00,$0.00,$0.00
FSLR,FIRST SOLAR INC COM,$0.00,0.00%,$0.00,$149.00,$0.00,$0.00
GE,GENERAL ELECTRIC CO COM,$0.00,0.00%,$0.00,$170.00,$0.00,$0.00
GILD,GILEAD SCIENCES INC COM,$5.00,+0.56%,$0.00,$5.00,$165.43,$220.00
GLD,SPDR GOLD TR GOLD SHS ETF,($220.00),-15.36%,$0.00,($220.00),$104.69,$88.00
GOOG,GOOGLE INC CLASS C,$14.76,+0.69%,($2.36),$14.76,$321.30,"$2,142.00"
GREK,GLOBAL X FUNDS GREECE 20 ETF,$478.00,+6.05%,($12.00),$478.00,"$1,257.30","$8,382.00"
HD,HOME DEPOT INC COM,$0.00,0.00%,$0.00,$146.00,$0.00,$0.00
IBM,INTL BUSINESS MACHINES COM,$0.00,0.00%,$0.00,$120.00,$0.00,$0.00
JPM,JP MORGAN CHASE & CO COM,$0.00,0.00%,$0.00,$108.00,$0.00,$0.00
KO,COCA COLA CO COM,($46.50),-19.87%,$0.00,($46.50),$172.68,$187.50
NGE,GLOBAL X FUNDS MSCI NIGERIA ETF,$144.00,+2.86%,$0.00,$144.00,$776.70,"$5,178.00"
PG,PROCTER GAMBLE CO COM,$55.00,+0.63%,$0.00,$55.00,"$1,254.58","$8,524.00"
RSX,MARKET VECTORS RUSSIA,($100.00),-35.71%,$0.00,$145.00,$167.50,$180.00
SNDK,SANDISK CORP COM,($94.50),-1.19%,$0.00,($94.50),"$1,132.79","($8,063.50)"
SPY,SPDR TR S&P 500 ETF TR,($61.50),-8.46%,$0.00,$79.50,$166.14,$181.50
TSLA,TESLA MOTORS INC COM,($25.00),-0.98%,$0.00,($25.00),$75.00,$215.00
USLV,CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,($453.00),-18.16%,$71.00,($453.00),$306.30,"$2,042.00"
VNQ,VANGUARD REIT ETF INDEX,($52.80),-1.55%,$0.00,($52.80),$501.66,"$3,344.40"
VXX,BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,($236.50),-88.58%,$0.00,($236.50),$30.50,$30.50
WFC,WELLS FARGO & CO COM,$0.00,0.00%,$0.00,$110.00,$0.00,$0.00
XOM,EXXON MOBIL CORPORATION COM,($19.00),-0.21%,$0.00,($19.00),"$1,297.36","($8,986.00)"
,OVERALL TOTALS,"($9,411.64)",-3.21%,$241.54,"($5,061.14)","$21,617.31","$13,222.80"

Forex Account Summary
Cash,"$10,530.06"
UPL,($97.71)
Floating P/L,$31.36
Equity,"$10,463.71"
Margin,"$2,015.95"
Available Equity,"$8,447.76"
Risk Level,100.00%

Account Summary
Net Liquidating Value,"$44,344.70"
Stock Buying Power,"$22,542.39"
Option Buying Power,"$22,542.39"
Commissions YTD,$583.09
Futures Commissions YTD,$30.07
